26,75,124,7049.1,858.2,281.25
26,75,124,7132.6,815.17,290.91
26,75,124,7177.4,966.5,288.29
26,75,124,7074.3,993.14,274.05
26,75,124,6977.3,863.8,264.81
26,75,124,7047.6,859.04,278.82
26,75,124,7149.5,839.65,294.64
26,75,124,7146,1012.4,272.82
26,75,124,7022,931.99,272.75
26,75,124,6987.5,866.35,264.81
26,75,124,7068.8,841,292.1
26,75,124,7163.4,910.17,280.27
26,75,124,7121.3,1022.7,278.04
26,75,124,6997.2,879.44,269.19
26,75,124,6987.9,864.16,272.48
26,75,124,7075.4,822.55,295.13
26,75,124,7142.7,955.22,285.66
26,75,124,7076.8,1010.8,282.23
26,75,124,6986.4,864.15,275.46
26,75,124,7017,843.36,289.69
26,75,124,7115.3,828.48,295.79
26,75,124,7130.9,1002.6,290.24
26,75,124,7031.9,968.26,283.77
26,75,124,6964.6,867.14,267.03
26,75,124,7021.5,842.62,292.12
26,75,124,7113.7,841.61,298.12
26,75,124,7107.5,1008.9,277.08
26,75,124,6989.7,926.24,279.08
26,75,124,6957.1,862.9,272.71
26,75,124,7036,837.89,297.73
26,75,124,7132.7,893.2,284.15
26,75,124,7101.8,1018.6,283.67
26,75,124,6990.2,888.1,276
26,75,124,6971.1,866.7,272.76
26,75,124,7038.4,831.52,308.2
26,75,124,7115.5,929.27,292.24
26,75,124,7049,1021.8,275.04
26,75,124,6952.3,876.26,268.73
26,75,124,6956.7,845.91,284.01
26,75,124,7033.6,807.98,294.36
